survival_probabilities,t
0.714,0
0.575,1
0.499,2
0.44,3
0.398,4
0.366,5
0.34,6
0.316,7
0.302,8
0.291,9
0.281,10
0.267,11
0.257,12
0.241,13
0.227,14
0.219,15
0.211,16
0.201,17
0.19,18
0.189,19
0.178,20
0.174,21
0.169,22
0.159,23
0.155,24
0.147,25
0.145,26
0.138,27
0.135,28
0.13,29
0.128,30
0.125,31
0.12,32
0.114,33
0.113,34
0.11,35
0.107,36
0.104,37
0.102,38
0.1,39
0.097,40
0.095,41
0.093,42
0.091,43
0.091,44
0.09,45
0.09,46
0.087,47
0.086,48
0.083,49
0.083,50
0.083,51
0.083,52
0.082,53
0.08,54
0.078,55
0.075,56
0.075,57
0.074,58
0.07,59
0.068,60
0.067,61
0.066,62
0.062,63
0.06,64
0.06,65
0.06,66
0.059,67
0.058,68
0.057,69
0.054,70
0.054,71
0.053,72
0.051,73
0.049,74
0.049,75
0.046,76
0.044,77
0.042,78
0.042,79
0.041,80
0.04,81
0.039,82
0.039,83
0.039,84
0.036,85
0.036,86
0.036,87
0.036,88
0.035,89
0.034,90
0.034,91
0.034,92
0.033,93
0.033,94
0.033,95
0.033,96
0.033,97
0.033,98
0.032,99
0.032,100
0.032,101
0.032,102
0.031,103
0.031,104
0.03,105
0.03,106
0.03,107
0.029,108
0.029,109
0.029,110
0.027,111
0.027,112
0.027,113
0.027,114
0.026,115
0.026,116
0.026,117
0.024,118
0.023,119
0.023,120
0.021,121
0.02,122
0.019,123
0.019,124
0.019,125
0.018,126
0.017,127
0.017,128
0.017,129
0.017,130
0.017,131
0.015,132
0.015,133
0.015,134
0.014,135
0.014,136
0.013,137
0.012,138
0.011,139
0.011,140
0.011,141
0.011,142
0.011,143
0.011,144
0.011,145
0.011,146
0.011,147
0.011,148
0.011,149
0.01,150
0.01,151
0.01,152
0.01,153
0.01,154
0.01,155
0.009,156
0.009,157
0.009,158
0.009,159
0.009,160
0.008,161
0.008,162
0.008,163
0.008,164
0.008,165
0.008,166
0.008,167
0.007,168
0.007,169
0.007,170
0.007,171
0.006,172
0.005,173
0.004,174
0.004,175
0.004,176
0.003,177
0.003,178
0.003,179
0.003,180
0.003,181
0.003,182
0.003,183
0.003,184
0.003,185
0.003,186
0.003,187
0.003,188
0.003,189
0.003,190
0.003,191
0.003,192
0.003,193
0.003,194
0.003,195
0.002,196
0.002,197
0.002,198
0.002,199
0.002,200
0.002,201
0.002,202
0.002,203
0.002,204
0.002,205
0.002,206
0.002,207
0.002,208
0.002,209
0.002,210
0.002,211
0.002,212
0.002,213
0.002,214
0.002,215
0.002,216
0.002,217
0.002,218
0.002,219
0.002,220
0.002,221
0.002,222
0.002,223
0.002,224
0.002,225
0.002,226
0.002,227
0.002,228
0.002,229
0.002,230
0.002,231
0.002,232
0.002,233
0.002,234
0.002,235
0.002,236
0.002,237
0.002,238
0.002,239
0.002,240
0.002,241
0.002,242
0.002,243
0.002,244
0.002,245
0.002,246
0.001,247
0.001,248
0.001,249
0.001,250
0.001,251
0.001,252
0.001,253
0.001,254
0.001,255
0.001,256
0.001,257
0.0,258
0.0,259
0.0,260
0.0,261
0.0,262
0.0,263
0.0,264
0.0,265
0.0,266
0.0,267
0.0,268
0.0,269
0.0,270
0.0,271
0.0,272
0.0,273
0.0,274
0.0,275
0.0,276
0.0,277
0.0,278
0.0,279
0.0,280
0.0,281
0.0,282
0.0,283
0.0,284
0.0,285
0.0,286
0.0,287
0.0,288
0.0,289
0.0,290
0.0,291
0.0,292
0.0,293
0.0,294
0.0,295
0.0,296
0.0,297
0.0,298
0.0,299
