,rock_vals,t_vals
0,0,200
1,1,300
2,1,400
3,0,500
4,0,600
5,1,700
6,1,800
7,0,900
8,0,1000
9,1,1100
10,1,1200
11,0,1300
12,0,1400
13,1,1500
14,1,1600
15,0,1700
16,0,1800
17,1,1900
18,1,2000
19,0,2100
20,0,2200
21,1,2300
22,1,2400
23,0,2500
24,0,2600
25,1,2700
26,1,2800
27,0,2900
28,0,3000
29,1,3100
30,1,3200
31,0,3300
32,0,3400
33,1,3500
34,1,3600
35,0,3700
36,0,3800
37,1,3900
38,1,4000
39,0,4100
40,0,4200
41,1,4300
42,1,4400
43,0,4500
44,0,4600
45,1,4700
46,1,4800
47,0,4900
48,0,5000
49,1,5100
50,1,5200
51,0,5300
52,0,5400
53,1,5500
54,1,5600
55,0,5700
56,0,5800
57,1,5900
58,1,6000
59,0,6100
60,0,6200
61,1,6300
62,1,6400
63,0,6500
64,0,6600
65,1,6700
66,1,6800
67,0,6900
68,0,7000
69,1,7100
70,1,7200
71,0,7300
72,0,7400
73,1,7500
74,1,7600
75,0,7700
76,0,7800
77,1,7900
78,1,8000
79,0,8100
80,0,8200
81,1,8300
82,1,8400
83,0,8500
84,0,8600
85,1,8700
86,1,8800
87,0,8900
88,0,9000
89,1,9100
90,1,9200
91,0,9300
92,0,9400
93,1,9500
94,1,9600
95,0,9700
96,0,9800
97,1,9900
