,p1,variance,variance_err
0,0.2,0.0,0.0
1,0.21000000000000002,0.0,0.0
2,0.22000000000000003,0.0,0.0
3,0.23000000000000004,4.278235999999999e-06,4.163249807261129e-06
4,0.24000000000000005,0.0,0.0
5,0.25000000000000006,9.072604000000003e-06,8.956853589301869e-06
6,0.26000000000000006,5.898389999999999e-05,6.027726195810671e-05
7,0.2700000000000001,0.00036861212400000003,0.0003528905997719353
8,0.2800000000000001,1.8149183999999992e-05,1.753033573183036e-05
9,0.2900000000000001,0.044409197936000004,0.019796186786540194
10,0.3000000000000001,0.10405710031600002,0.04837575895845582
11,0.3100000000000001,1.7398608574999999,0.08644530163709366
12,0.3200000000000001,0.948307465756,0.07483999078819971
13,0.3300000000000001,0.682167416304,0.04233524522471439
14,0.34000000000000014,0.6634413388759999,0.035629018295696264
15,0.35000000000000014,0.6508849673559999,0.042636541381453744
16,0.36000000000000015,0.577811111036,0.025830251375657802
17,0.37000000000000016,0.5804457966040001,0.023701308306527467
18,0.38000000000000017,0.5745753824,0.024933560464829477
19,0.3900000000000002,0.515571322176,0.01901340469126726
20,0.4000000000000002,0.5270317175,0.016217510985429236
21,0.4100000000000002,0.4670296711,0.013347464330417011
22,0.4200000000000002,0.459850918256,0.012289994142941648
23,0.4300000000000002,0.4491647158999999,0.01275790643861155
24,0.4400000000000002,0.464588231964,0.013763431410446716
25,0.45000000000000023,0.4694816516760001,0.014695820568423066
26,0.46000000000000024,0.447910292476,0.010951817658158768
27,0.47000000000000025,0.438880251676,0.010735321145068226
28,0.48000000000000026,0.43022767999999995,0.009862129933362128
29,0.49000000000000027,0.4262749828759999,0.010354163235317508
30,0.5000000000000002,0.4204790329560001,0.008579600650704506
31,0.5100000000000002,0.41023595160000004,0.010572808360270823
32,0.5200000000000002,0.42367504380400006,0.010087388885448023
33,0.5300000000000002,0.4243956475999999,0.009181377349352456
34,0.5400000000000003,0.42634941886400013,0.010171043845765008
