,immunity_frac,mean_infected
0,0.0,0.2551788
1,0.02,0.2451904
2,0.04,0.2300052
3,0.06,0.218154
4,0.08,0.20478320000000003
5,0.1,0.1922668
6,0.12,0.17222359999999998
7,0.14,0.1563712
8,0.16,0.1408476
9,0.18,0.1253304
10,0.2,0.108032
11,0.22,0.08544679999999999
12,0.24,0.05174719999999999
13,0.26,0.015006
14,0.28,0.0038436000000000004
15,0.3,0.0030944
16,0.32,0.0001236
17,0.34,0.0
18,0.36,0.0
19,0.38,0.0
20,0.4,0.0
21,0.42,0.0
22,0.44,0.0
23,0.46,0.0
24,0.48,0.0
25,0.5,0.0
26,0.52,0.0
27,0.54,0.0
28,0.56,0.0
29,0.58,0.0
30,0.6,0.0
31,0.62,0.0
32,0.64,0.0
33,0.66,0.0
34,0.68,0.0
35,0.7000000000000001,0.0
36,0.72,0.0
37,0.74,0.0
38,0.76,0.0
39,0.78,0.0
40,0.8,0.0
41,0.8200000000000001,0.0
42,0.84,0.0
43,0.86,0.0
44,0.88,0.0
45,0.9,0.0
46,0.92,0.0
47,0.9400000000000001,0.0
48,0.96,0.0
49,0.98,0.0
50,1.0,0.0
